gene_id	gene_name	transcript_id	sample	TPM	treat	batch	time_point
ENSMUSG00000042766	Trim46	ENSMUST00000143637	LM411_R2_t1	0.54	LM411	R2	t1
ENSMUSG00000044475	Ascc1	ENSMUST00000050516	LM411_R2_t1	20.15	LM411	R2	t1
ENSMUSG00000044475	Ascc1	ENSMUST00000164083	LM411_R2_t1	3.91	LM411	R2	t1
ENSMUSG00000044475	Ascc1	ENSMUST00000219778	LM411_R2_t1	2.98	LM411	R2	t1
ENSMUSG00000044566	Cage1	ENSMUST00000074969	LM411_R2_t1	0.28	LM411	R2	t1
ENSMUSG00000044566	Cage1	ENSMUST00000089840	LM411_R2_t1	0.1	LM411	R2	t1
ENSMUSG00000044566	Cage1	ENSMUST00000110233	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000045427	Hnrnph2	ENSMUST00000050331	LM411_R2_t1	27.98	LM411	R2	t1
ENSMUSG00000045427	Hnrnph2	ENSMUST00000059297	LM411_R2_t1	10.98	LM411	R2	t1
ENSMUSG00000045427	Hnrnph2	ENSMUST00000074950	LM411_R2_t1	57.69	LM411	R2	t1
ENSMUSG00000045427	Hnrnph2	ENSMUST00000113202	LM411_R2_t1	4.17	LM411	R2	t1
ENSMUSG00000047412	Zbtb44	ENSMUST00000115222	LM411_R2_t1	4.34	LM411	R2	t1
ENSMUSG00000047412	Zbtb44	ENSMUST00000216649	LM411_R2_t1	9.75	LM411	R2	t1
ENSMUSG00000047412	Zbtb44	ENSMUST00000217092	LM411_R2_t1	8.09	LM411	R2	t1
ENSMUSG00000047888	Tnrc6b	ENSMUST00000067689	LM411_R2_t1	2.75	LM411	R2	t1
ENSMUSG00000047888	Tnrc6b	ENSMUST00000226857	LM411_R2_t1	1.33	LM411	R2	t1
ENSMUSG00000047888	Tnrc6b	ENSMUST00000228124	LM411_R2_t1	1.98	LM411	R2	t1
ENSMUSG00000048271	Rbm33	ENSMUST00000059644	LM411_R2_t1	8.19	LM411	R2	t1
ENSMUSG00000048271	Rbm33	ENSMUST00000114884	LM411_R2_t1	9.19	LM411	R2	t1
ENSMUSG00000048731	Ggnbp1	ENSMUST00000053683	LM411_R2_t1	0.95	LM411	R2	t1
ENSMUSG00000048731	Ggnbp1	ENSMUST00000122106	LM411_R2_t1	0.49	LM411	R2	t1
ENSMUSG00000048731	Ggnbp1	ENSMUST00000142141	LM411_R2_t1	1.02	LM411	R2	t1
ENSMUSG00000048731	Ggnbp1	ENSMUST00000151920	LM411_R2_t1	0.47	LM411	R2	t1
ENSMUSG00000048731	Ggnbp1	ENSMUST00000154731	LM411_R2_t1	0.21	LM411	R2	t1
ENSMUSG00000048731	Ggnbp1	ENSMUST00000236076	LM411_R2_t1	0.32	LM411	R2	t1
